story_id,story_name
ENG.01,THE ADVENTURE OF THE THREE GABLES
ENG.O2,THE ADVENTURE OF THE THREE GARRIDEBS
ENG.O3,THE ADVENTURE OF THE THREE STUDENTS
ENG.O4,THE ADVENTURE OF THE ABBEY GRANGE
ENG.O5,A SCANDAL IN BOHEMIA
ENG.O6,THE ADVENTURE OF THE BERYL CORONET
ENG.O7,THE ADVENTURE OF BLACK PETER
ENG.O8,THE BLANCHED SOLDIER
ENG.O9,THE ADVENTURE OF THE BLUE CARBUNCLE
ENG.O10,THE BOSCOMBE VALLEY MYSTERY
ENG.O11,THE ADVENTURE OF THE BRUCE-PARTINGTON PLANS
ENG.O12,A STUDY IN SCARLET
ENG.O13,THE ADVENTURE OF THE CARDBOARD BOX
ENG.O14,THE CASE-BOOK OF SHERLOCK HOLMES
ENG.O15,THE ADVENTURE OF CHARLES AUGUSTUS MILVERTON
ENG.O18,THE COMPLETE SHERLOCK HOLMES
ENG.O19,THE ADVENTURE OF THE COPPER BEECHES
ENG.O20,THE ADVENTURE OF THE CREEPING MAN
ENG.O21,THE CROOKED MAN
ENG.O22,THE ADVENTURE OF THE DANCING MEN
ENG.O23,THE ADVENTURE OF THE DEVIL'S FOOT
ENG.O24,THE ADVENTURE OF THE DYING DETECTIVE
ENG.O25,THE ADVENTURE OF THE EMPTY HOUSE
ENG.O26,THE ADVENTURE OF THE ENGINEER'S THUMB
ENG.O27,THE FINAL PROBLEM
ENG.O28,THE FIVE ORANGE PIPS
ENG.O29,THE "GLORIA SCOTT"
ENG.O30,THE ADVENTURE OF THE GOLDEN PINCE-NEZ
ENG.O31,THE GREEK INTERPRETER
ENG.O32,THE HOUND OF THE BASKERVILLES
ENG.O33,A CASE OF IDENTITY
ENG.O34,THE ILLUSTRIOUS CLIENT
ENG.O35,THE DISAPPEARANCE OF LADY FRANCES CARFAX
ENG.O36,HIS LAST BOW An Epilogue of Sherlock Holmes
ENG.O37,THE ADVENTURE OF THE LION'S MANE
ENG.O38,HIS LAST BOW
ENG.O39,THE ADVENTURE OF THE MAZARIN STONE
ENG.O40,THE MEMOIRS OF SHERLOCK HOLMES
ENG.O41,THE ADVENTURE OF THE MISSING THREE-QUARTER
ENG.O42,THE MUSGRAVE RITUAL
ENG.O43,THE NAVAL TREATY
ENG.O44,THE ADVENTURE OF THE NOBLE BACHELOR
ENG.O45,THE ADVENTURE OF THE NORWOOD BUILDER
ENG.O46,THE ADVENTURE OF THE PRIORY SCHOOL
ENG.O47,THE ADVENTURE OF THE RED CIRCLE
ENG.O48,THE RED-HEADED LEAGUE
ENG.O49,THE REIGATE SQUIRES
ENG.O50,THE RESIDENT PATIENT
ENG.O51,THE ADVENTURE OF THE RETIRED COLOURMAN
ENG.O52,A SCANDAL IN BOHEMIA
ENG.O53,THE ADVENTURE OF THE SECOND STAIN
ENG.O54,THE ADVENTURE OF SHOSCOMBE OLD PLACE
ENG.O55,THE SIGN OF THE FOUR
ENG.O56,SILVER BLAZE
ENG.O57,THE ADVENTURE OF THE SIX NAPOLEONS
ENG.O58,THE ADVENTURE OF THE SOLITARY CYCLIST
ENG.O59,THE ADVENTURE OF THE SPECKLED BAND
ENG.O60,THE STOCK-BROKER'S CLERK
ENG.O61,A STUDY IN SCARLET
ENG.O62,THE ADVENTURE OF THE SUSSEX VAMPIRE
ENG.O63,THE PROBLEM OF THOR BRIDGE
ENG.O64,THE MAN WITH THE TWISTED LIP
ENG.O65,THE ADVENTURE OF THE VEILED LODGER
ENG.O66,THE ADVENTURE OF WISTERIA LODGE
ENG.O67,THE YELLOW FACE
