story_id,story_name,discipline,type
ENG.01,THE ADVENTURE OF THE THREE GABLES,literature,detective
ENG.02,THE ADVENTURE OF THE THREE GARRIDEBS,literature,detective
ENG.03,THE ADVENTURE OF THE THREE STUDENTS,literature,detective
ENG.04,THE ADVENTURE OF THE ABBEY GRANGE,literature,detective
ENG.05,THE ADVENTURE OF THE BERYL CORONET,literature,detective
ENG.06,THE ADVENTURE OF BLACK PETER,literature,detective
ENG.07,THE BLANCHED SOLDIER,literature,detective
ENG.08,THE ADVENTURE OF THE BLUE CARBUNCLE,literature,detective
ENG.09,THE BOSCOMBE VALLEY MYSTERY,literature,detective
ENG.10,THE ADVENTURE OF THE BRUCE-PARTINGTON PLANS,literature,detective
ENG.11,THE ADVENTURE OF THE CARDBOARD BOX,literature,detective
ENG.12,THE ADVENTURE OF CHARLES AUGUSTUS MILVERTON,literature,detective
ENG.13,THE ADVENTURE OF THE COPPER BEECHES,literature,detective
ENG.14,THE ADVENTURE OF THE CREEPING MAN,literature,detective
ENG.15,THE CROOKED MAN,literature,detective
ENG.16,THE ADVENTURE OF THE DANCING MEN,literature,detective
ENG.17,THE ADVENTURE OF THE DEVIL'S FOOT,literature,detective
ENG.18,THE ADVENTURE OF THE DYING DETECTIVE,literature,detective
ENG.19,THE ADVENTURE OF THE EMPTY HOUSE,literature,detective
ENG.20,THE ADVENTURE OF THE ENGINEER'S THUMB,literature,detective
ENG.21,THE FINAL PROBLEM,literature,detective
ENG.22,THE FIVE ORANGE PIPS,literature,detective
ENG.23,THE GLORIA SCOTT,literature,detective
ENG.24,THE ADVENTURE OF THE GOLDEN PINCE-NEZ,literature,detective
ENG.25,THE GREEK INTERPRETER,literature,detective
ENG.26,THE HOUND OF THE BASKERVILLES,literature,detective
ENG.27,A CASE OF IDENTITY,literature,detective
ENG.28,THE ILLUSTRIOUS CLIENT,literature,detective
ENG.29,THE DISAPPEARANCE OF LADY FRANCES CARFAX,literature,detective
ENG.30,HIS LAST BOW ,literature,detective
ENG.31,THE ADVENTURE OF THE LION'S MANE,literature,detective
